Gene;Ratio;p_value;FDR;hits
RAB40C;1,09761618;0,809312763;0,95694859;FALSE
SIAH1;0,886823203;0,809032258;0,95694859;FALSE
F9;1,193696032;0,807741935;0,95694859;FALSE
RNF187;0,902313879;0,807741935;0,95694859;FALSE
MGRN1;0,890179435;0,807657784;0,95694859;FALSE
RNF165;1,004106732;0,807657784;0,95694859;FALSE
UEVLD;0,959037229;0,807321178;0,95694859;FALSE
WDR12;0,904123159;0,801458626;0,95694859;FALSE
BRCA1;1,013660291;0,798709677;0,95694859;FALSE
BFAR;1,008728435;0,794726508;0,953939394;FALSE
CHFR;0,899119507;0,790911641;0,950961214;FALSE
UBE3B;0,925017807;0,790603086;0,950961214;FALSE
FBXO4;0,920449919;0,789368864;0,950961214;FALSE
FBXW2;0,961558243;0,788359046;0,950961214;FALSE
USP48;1,057915383;0,785525947;0,95089983;FALSE
FBXO2;1,045891982;0,784740533;0,95089983;FALSE
IRF2BPL;1,126647813;0,781879383;0,949710392;FALSE
DCAF12;0,82671226;0,781795231;0,949710392;FALSE
PELI2;1,040452947;0,777840112;0,948034188;FALSE
USP15;0,937239713;0,777391304;0,948034188;FALSE
UBR7;1,097028796;0,775848527;0,948034188;FALSE
RNF168;0,955417958;0,774474053;0,948034188;FALSE
ITCH;0,919446971;0,773856942;0,948034188;FALSE
ZNF645;0,949158353;0,77029453;0,946931034;FALSE
LITAF;0,865212214;0,766563815;0,943972366;FALSE
ANAPC4;0,915970758;0,765806452;0,943972366;FALSE
SNRNP40;0,919364482;0,762973352;0,942807626;FALSE
DTX4;0,863967257;0,760140252;0,9409375;FALSE
TRAF4;1,009403175;0,758962132;0,9409375;FALSE
FBXL4;1,055685413;0,758148668;0,9409375;FALSE
TLE1;0,933740835;0,753772791;0,937940663;FALSE
TRIM41;0,920923316;0,752033661;0,937412587;FALSE
RNF141;0,98006651;0,751584853;0,937412587;FALSE
RAG1;1,16644622;0,751107994;0,937412587;FALSE
RPL27;0,846313472;0,743197756;0,931282953;FALSE
AREL1;1,278470475;0,742608696;0,931282953;FALSE
CRBN;0,883792628;0,740196353;0,930793651;FALSE
RBX1;0,999303788;0,739831697;0,930793651;FALSE
KCTD21;0,812859929;0,729312763;0,920353982;FALSE
TRIM13;0,997689509;0,72911641;0,920353982;FALSE
UFL1;1,256917233;0,727713885;0,920353982;FALSE
USP40;0,951878021;0,726984572;0,920353982;FALSE
BIRC7;0,945708519;0,726367461;0,920353982;FALSE
MALT1;1,072594427;0,724516129;0,920353982;FALSE
PEX10;0,901155223;0,721879383;0,920353982;FALSE
RAD18;1,072501117;0,717335203;0,916594982;FALSE
CUL7;1,059065771;0,710631136;0,909658887;FALSE
TRIM2;0,794277474;0,710182328;0,909658887;FALSE
KBTBD13;1,197007291;0,709677419;0,909658887;FALSE
ANAPC11;0,916361175;0,709284712;0,909658887;FALSE
PCGF2;0,812702446;0,708218794;0,909658887;FALSE
USP12;0,936614219;0,704712482;0,909658887;FALSE
ZRANB1;1,07471748;0,703955119;0,909658887;FALSE
KBTBD3;0,827973935;0,700701262;0,908363636;FALSE
HDAC4;0,920828585;0,698569425;0,907249545;FALSE
OTUB2;1,217643522;0,697194951;0,907116788;FALSE
ANAPC5;1,046109907;0,694950912;0,905850091;FALSE
GAN;1,179188551;0,694950912;0,905850091;FALSE
NSMCE2;0,929271651;0,692678822;0,905850091;FALSE
UBOX5;0,958908471;0,692145863;0,905850091;FALSE
UHRF1;0,860100999;0,689509116;0,905377532;FALSE
RNF34;0,76751488;0,688527349;0,905377532;FALSE
UBE2QL1;0,929971258;0,687349229;0,905377532;FALSE
MBD3L1;1,276096977;0,68286115;0,90162963;FALSE
RNF138;1,310526816;0,68286115;0,90162963;FALSE
PIAS4;0,91837341;0,681570827;0,90162963;FALSE
RCHY1;0,780341542;0,679943899;0,90162963;FALSE
FBXO6;0,82956687;0,67941094;0,90162963;FALSE
KBTBD8;1,058745964;0,675399719;0,90011215;FALSE
ZNRF1;0,786878642;0,672314165;0,897677903;FALSE
KLHL28;1,223307655;0,672173913;0,897677903;FALSE
10-Mar;0,915343757;0,66973352;0,897593985;FALSE
ASB10;0,973043283;0,667573633;0,896384181;FALSE
ARNT;1,002413503;0,667152875;0,896384181;FALSE
STAMBPL1;1,280150944;0,665105189;0,896384181;FALSE
ASB1;0,892151011;0,662384292;0,894469697;FALSE
RHOBTB2;1,01872597;0,662159888;0,894469697;FALSE
PDLIM2;0,80940198;0,662103787;0,894469697;FALSE
USP28;0,816279013;0,659270687;0,894469697;FALSE
RNF2;0,946155616;0,658401122;0,894469697;FALSE
UBE2G2;1,082421563;0,65713885;0,894469697;FALSE
ZNRF3;1,021308771;0,65657784;0,894469697;FALSE
CDC26;0,934007939;0,655483871;0,894469697;FALSE
HECTD2;1,049446684;0,655483871;0,894469697;FALSE
YOD1;1,225302314;0,64858345;0,891021195;FALSE
KAT2B;0,925026858;0,646984572;0,890540541;FALSE
UBE2E3;0,862937515;0,644908836;0,889400387;FALSE
MPND;1,379947783;0,640981767;0,885697674;FALSE
HACE1;0,938710388;0,639214586;0,884970874;FALSE
RNF31;1,167906147;0,638793829;0,884970874;FALSE
MAGEB4;0,986962068;0,635568022;0,883352827;FALSE
NHLRC1;0,878692147;0,634558205;0,883352827;FALSE
NFX1;0,939078222;0,63256662;0,882622309;FALSE
TRIM6;0,834403966;0,628723703;0,878980392;FALSE
KLHL21;1,083187269;0,627152875;0,878506876;FALSE
KLHL29;1,177781428;0,621037868;0,871653543;FALSE
PELI1;1,114675556;0,62058906;0,871653543;FALSE
TBL1XR1;1,064248568;0,617643759;0,870316206;FALSE
RNF181;1,068891426;0,616605891;0,870316206;FALSE
MUL1;0,978206331;0,616044881;0,870316206;FALSE
RNF20;1,013200575;0,615568022;0,870316206;FALSE
ASB14;1,092726578;0,613632539;0,870316206;FALSE
ATXN3;0,776703273;0,612791024;0,870316206;FALSE
RNF185;1,047064801;0,612258065;0,870316206;FALSE
DDB1;0,78272279;0,611164095;0,870316206;FALSE
TULP4;0,999685789;0,611164095;0,870316206;FALSE
RNF40;0,863202732;0,61029453;0,870316206;FALSE
ZMIZ2;0,97198766;0,608471248;0,870316206;FALSE
RNF150;0,995171237;0,607124825;0,870316206;FALSE
GPR50;0,841744704;0,6057223;0,870316206;FALSE
MID1;1,086380812;0,604235624;0,870316206;FALSE
UBR1;1,341517709;0,603001403;0,870316206;FALSE
FBXW11;1,174419954;0,599691445;0,870316206;FALSE
TLE3;0,938431726;0,59943899;0,870316206;FALSE
KLHL4;0,922454701;0,597812062;0,870316206;FALSE
RWDD3;1,258129166;0,596465638;0,870316206;FALSE
RNF217;1,066679016;0,595287518;0,870316206;FALSE
RNF6;1,068121208;0,592145863;0,86872428;FALSE
USP42;0,898389961;0,591276297;0,86872428;FALSE
USP32P3;0,829496055;0,591220196;0,86872428;FALSE
TRIM11;1,080380394;0,589677419;0,86872428;FALSE
DCAF5;0,893476995;0,58858345;0,86872428;FALSE
USP26;0,87525796;0,579635344;0,859209979;FALSE
PWP1;0,666539926;0,577531557;0,857875;FALSE
DCUN1D1;0,960190758;0,5771669;0,857875;FALSE
HECTD3;1,193099035;0,576942496;0,857875;FALSE
RNF144A;0,903586475;0,57657784;0,857875;FALSE
UBE2U;0,98816296;0,576437588;0,857875;FALSE
UBE2G1;0,985156554;0,575203366;0,857875;FALSE
UCHL5;1,062040436;0,57259467;0,857875;FALSE
USP37;1,339755298;0,571500701;0,857875;FALSE
TLE2;0,84851611;0,571248247;0,857875;FALSE
ASB17;0,799004536;0,569873773;0,857875;FALSE
NOSIP;0,832694635;0,567966339;0,857875;FALSE
TBL1X;0,812448829;0,565357644;0,857875;FALSE
FBXO22;1,073842916;0,564375877;0,857875;FALSE
RNF152;0,914468384;0,564375877;0,857875;FALSE
TRIM43B;0,808657002;0,560925666;0,857875;FALSE
TRIM22;0,725119001;0,559719495;0,857875;FALSE
WDR53;1,192440563;0,556297335;0,854827586;FALSE
FBXO3;0,961465297;0,553800842;0,852829374;FALSE
USP43;0,775040354;0,550771388;0,85;FALSE
MKRN3;0,874239069;0,549228612;0,849457701;FALSE
ANKIB1;1,048194748;0,54743338;0,848521739;FALSE
DCUN1D2;0,783511235;0,547180926;0,848521739;FALSE
RNF175;0,670497348;0,540224404;0,841004367;FALSE
TOPORS;1,123758152;0,538653576;0,840393873;FALSE
TRIM35;1,120558311;0,537531557;0,840393873;FALSE
TRIM51;1,184760169;0,536409537;0,840393873;FALSE
DCUN1D3;0,798400957;0,535708275;0,840393873;FALSE
DCAF16;1,228230751;0,532117812;0,837527594;FALSE
ATG16L1;0,762945359;0,529060309;0,834557522;FALSE
ZNRF2;1,141066846;0,528302945;0,834557522;FALSE
UBE2L3;0,7464187;0,528134642;0,834557522;FALSE
USP3;1,328796064;0,525890603;0,834557522;FALSE
FBXO45;1,15942779;0,525862553;0,834557522;FALSE
USP6;0,904301943;0,524600281;0,834557522;FALSE
UFC1;1,176614498;0,524460028;0,834557522;FALSE
TAF1D;1,071942835;0,520953717;0,834557522;FALSE
FBXO42;1,158299104;0,518513324;0,832657658;FALSE
AMBRA1;1,124130544;0,518204769;0,832657658;FALSE
CUL4A;0,867636175;0,513997195;0,829140271;FALSE
RPL14;0,717958313;0,510518934;0,825396825;FALSE
DZIP3;1,20792569;0,507124825;0,821772727;FALSE
KLHL15;1,366470469;0,501991585;0,815307517;FALSE
USP25;0,70110382;0,498541374;0,811552511;FALSE
TRIP12;0,924244043;0,497419355;0,811552511;FALSE
TRIM8;1,212579738;0,496914446;0,811552511;FALSE
CUL4B;1,348470772;0,49654979;0,811552511;FALSE
USP17L26;1,073979232;0,493744741;0,811152074;FALSE
TMF1;1,144169961;0,492145863;0,81039261;FALSE
USP30;1,266242834;0,492145863;0,81039261;FALSE
RNF13;0,776872367;0,492089762;0,81039261;FALSE
6-Mar;1,14731199;0,486002805;0,805860465;FALSE
RNF114;0,919516981;0,485413745;0,805860465;FALSE
E4F1;1,031428471;0,483899018;0,805860465;FALSE
TRAF3IP2;1,235071264;0,482440393;0,80557377;FALSE
ATG10;1,182610778;0,482103787;0,80557377;FALSE
USP2;0,777530447;0,481767181;0,80557377;FALSE
USP4;1,211377782;0,481065919;0,80557377;FALSE
