Gene;Ratio;p_value;FDR;hits
RFWD2;0,741692293;0,202608696;0,618666667;FALSE
USP46;1,220039824;0,202412342;0,618666667;FALSE
USP11;0,750141487;0,202215989;0,618666667;FALSE
FBXL12;1,654528983;0,200645161;0,618666667;FALSE
DCAF4;0,756778068;0,196718093;0,618666667;FALSE
UBR5;0,706541074;0,194417952;0,616088889;FALSE
TRIM36;1,183921406;0,188695652;0,600625;FALSE
FBXO33;0,822270476;0,188330996;0,600625;FALSE
TRAF5;0,552964594;0,187882188;0,600625;FALSE
RNF133;1,562437726;0,187349229;0,600625;FALSE
DAZ2;1,403155008;0,186928471;0,600625;FALSE
DTX2;0,802453426;0,186535764;0,600625;FALSE
UHRF2;1,614002215;0,184964937;0,600625;FALSE
KLHL34;1,128187213;0,184796634;0,600625;FALSE
CBLB;1,41100721;0,18286115;0,600625;FALSE
RCBTB1;1,140675667;0,180701262;0,599255814;FALSE
UCHL3;0,78958793;0,180140252;0,599255814;FALSE
ZMIZ1;1,589115251;0,17657784;0,591079812;FALSE
UBE2S;0,682266885;0,175680224;0,590849057;FALSE
KATNB1;0,668402497;0,174109397;0,588341232;FALSE
WDTC1;1,252867073;0,173828892;0,588341232;FALSE
RNF41;0,736464483;0,170490884;0,581626794;FALSE
WDR76;0,822841479;0,170490884;0,581626794;FALSE
USP36;1,949523076;0,167349229;0,576425121;FALSE
KLHL9;0,789252923;0,16631136;0,575631068;FALSE
TRIM47;1,020409703;0,163141655;0,567414634;FALSE
UBE2E1;1,476573223;0,162468443;0,567414634;FALSE
DCAF11;1,321545363;0,162047686;0,567414634;FALSE
HERC5;0,853054645;0,160813464;0,567414634;FALSE
DCAF8;1,342973427;0,158681627;0,562885572;FALSE
TRAIP;1,293759422;0,157559607;0,5617;FALSE
WDR59;0,859907136;0,152145863;0,545125628;FALSE
UBE2O;0,800962738;0,151220196;0,544545455;FALSE
FBXW7;1,553146593;0,150631136;0,544545455;FALSE
KBTBD12;1,233900087;0,149340813;0,543265306;FALSE
USP10;1,504325457;0,149340813;0,543265306;FALSE
LRR1;0,550801908;0,148892006;0,543265306;FALSE
RMND5B;1,428554675;0,148639551;0,543265306;FALSE
RAB40B;1,546983227;0,148246844;0,543265306;FALSE
CIAO1;0,775013343;0,14802244;0,543265306;FALSE
FBXW5;0,760835486;0,1457223;0,543265306;FALSE
FBXO40;0,673502437;0,141262272;0,532910053;FALSE
HLTF;0,68257454;0,140448808;0,532659574;FALSE
FBXL19;0,901888594;0,138316971;0,527379679;FALSE
ZBTB18;0,609064377;0,136493689;0,523225806;FALSE
CUL5;1,339513372;0,134670407;0,519027027;FALSE
RNF169;1,208102958;0,133632539;0,517826087;FALSE
RPL4;1,404392844;0,132538569;0,516393443;FALSE
SH3RF2;1,293314796;0,130659187;0,511868132;FALSE
UBE2M;0,469865914;0,130518934;0,511868132;FALSE
PRC1;0,795057432;0,128246844;0,508;FALSE
ASB13;0,740141086;0,127713885;0,508;FALSE
OTULIN;0,721766318;0,12628331;0,505842697;FALSE
PIAS3;1,314137189;0,126255259;0,505842697;FALSE
UBE2N;0,769375884;0,122805049;0,4975;FALSE
PJA2;1,127491094;0,122103787;0,497485714;FALSE
ASB4;1,156691145;0,121374474;0,497356322;FALSE
ARIH1;0,70155381;0,120336606;0,495953757;FALSE
11-Mar;1,170722363;0,119747546;0,495953757;FALSE
ARIH2;1,563392847;0,11884993;0,495555556;FALSE
KDM2B;1,303381768;0,117868163;0,494352941;FALSE
UBE2J1;0,852290923;0,117503506;0,494352941;FALSE
FBXO30;2,111648371;0,11371669;0,482619048;FALSE
CBL;0,855775985;0,111612903;0,476526946;FALSE
IPP;1,381855678;0,110799439;0,475903614;FALSE
RC3H2;1,491026394;0,109481066;0,473090909;FALSE
USP29;1,397440904;0,104123422;0,452682927;FALSE
RPL12;0,650233105;0,103366059;0,452147239;FALSE
KLHL22;1,791250262;0,103197756;0,452147239;FALSE
RPL19;1,837366224;0,102720898;0,452147239;FALSE
FBXO10;0,728186743;0,102608696;0,452147239;FALSE
RNF122;0,674446834;0,100869565;0,452147239;FALSE
KLHL1;0,839319146;0,100252454;0,452147239;FALSE
USP41;1,464485101;0,098345021;0,446624204;FALSE
FBXO18;1,362108154;0,095119215;0,43474359;FALSE
TRIM46;0,871841649;0,091107994;0,419096774;FALSE
TRIM45;1,539141098;0,090995792;0,419096774;FALSE
MDM2;1,656615659;0,088779804;0,41372549;FALSE
UBE2J2;1,295560228;0,088218794;0,41372549;FALSE
CDC27;0,611694031;0,08684432;0,410066225;FALSE
CDC23;0,61579708;0,085890603;0,408266667;FALSE
TRIM4;0,666226937;0,084235624;0,403087248;FALSE
TRIM5;1,600301838;0,081318373;0,391756757;FALSE
GNB2;0,669816652;0,080785414;0,391756757;FALSE
TRIM71;1,737900073;0,08056101;0,391756757;FALSE
TRIM59;1,697443894;0,079775596;0,391756757;FALSE
TRAF6;0,579007703;0,076914446;0,380833333;FALSE
RNF220;1,497765654;0,07545582;0,376223776;FALSE
CBLL1;1,365461189;0,074586255;0,374507042;FALSE
MAP3K1;1,507071752;0,073071529;0,369503546;FALSE
BCL6B;1,489231041;0,070659187;0,359857143;FALSE
TRIM40;0,748337206;0,069396914;0,355971223;FALSE
DCAF15;1,385350539;0,068976157;0,355971223;FALSE
FBXO24;0,749147694;0,068218794;0,355036496;FALSE
7-Mar;0,707574123;0,068134642;0,355036496;FALSE
UBE2Q1;0,416385689;0,066535764;0,351407407;FALSE
NEURL1B;1,711773209;0,063814867;0,339552239;FALSE
SPSB2;1,137899514;0,063730715;0,339552239;FALSE
USP31;1,494108689;0,062524544;0,337727273;FALSE
UBA3;0,773196053;0,062468443;0,337727273;FALSE
TRIM32;1,680091166;0,061767181;0,337727273;FALSE
RNF186;0,649781759;0,06058906;0,334883721;FALSE
RNF10;1,33656575;0,059887798;0,33359375;FALSE
RNF44;1,164587293;0,05884993;0,330393701;FALSE
KCTD11;0,667449404;0,058204769;0,329365079;FALSE
FBXO31;0,616678777;0,057896213;0,329365079;FALSE
ANAPC13;0,753459817;0,057335203;0,329365079;FALSE
VHL;1,525651541;0,056493689;0,327479675;FALSE
NEURL3;0,604463687;0,054586255;0,319016393;FALSE
MSL2;0,475703561;0,051893408;0,305785124;FALSE
FBXO32;1,510272705;0,051248247;0,3045;FALSE
WDR61;0,830591106;0,049957924;0,299327731;FALSE
TRIM38;0,718725934;0,049284712;0,29779661;FALSE
RNF113B;0,599551705;0,048976157;0,29779661;FALSE
RNF113A;1,286337305;0,048807854;0,29779661;FALSE
ASB7;1,29064131;0,048723703;0,29779661;FALSE
VPS18;0,59897035;0,048246844;0,29779661;FALSE
MYLIP;0,445707409;0,04569425;0,288318584;FALSE
ASB18;1,306906169;0,045245442;0,288035714;FALSE
TRIM34;2,15430631;0,045245442;0,288035714;FALSE
DDB2;1,460380172;0,044852735;0,288035714;FALSE
SART1;0,496404181;0,043057504;0,281651376;FALSE
RAB40A;1,342234581;0,042917251;0,281651376;FALSE
KEAP1;0,534234883;0,038345021;0,255514019;FALSE
RFWD3;0,669761697;0,038316971;0,255514019;FALSE
RNF139;1,339915499;0,037363254;0,253714286;FALSE
RBBP4;0,456763451;0,036353436;0,249230769;FALSE
ENC1;1,967830383;0,035119215;0,243106796;FALSE
USP49;1,290350548;0,034950912;0,243106796;FALSE
ASB15;1,418877217;0,031809257;0,224554455;FALSE
USP22;0,617004607;0,031164095;0,2222;FALSE
WSB1;0,647613787;0,029957924;0,215757576;FALSE
MAGEA6;1,732279105;0,029873773;0,215757576;FALSE
CISH;1,878998557;0,029621318;0,215757576;FALSE
UBAC1;1,363119751;0,029621318;0,215757576;FALSE
1-Mar;1,31432755;0,028246844;0,212;FALSE
UBE2L6;0,590945201;0,027685835;0,21;FALSE
KLHL41;0,726216152;0,027461431;0,21;FALSE
USP17L2;0,652281492;0,027377279;0,21;FALSE
SKP2;0,670703277;0,026900421;0,21;FALSE
AMFR;0,630176401;0,026760168;0,21;FALSE
USP47;0,621921021;0,025638149;0,205393258;FALSE
SPSB1;1,666945372;0,024516129;0,198636364;FALSE
ANAPC2;0,707073228;0,024516129;0,198636364;FALSE
UBE3D;1,757076798;0,023730715;0,196744186;FALSE
CYLD;0,673612459;0,02345021;0,196705882;FALSE
PJA1;1,602589235;0,022524544;0,191190476;FALSE
CCNF;1,565550902;0,021879383;0,187951807;FALSE
CUL1;0,557027477;0,021767181;0,187951807;FALSE
UBE2H;2,0915084;0,020617111;0,181481481;FALSE
JOSD1;1,592140106;0,019382889;0,17275;FALSE
KLHL3;1,569772362;0,017110799;0,15443038;FALSE
OTUD7B;0,570350587;0,016942496;0,15443038;FALSE
PEX12;0,574176183;0,016774194;0,15443038;FALSE
3-Mar;1,946819114;0,016409537;0,153947368;FALSE
NACC1;0,582230399;0,015259467;0,145066667;FALSE
RING1;0,604058574;0,014754558;0,142162162;FALSE
USP50;1,548778513;0,014193548;0,138630137;FALSE
TRIM23;1,957916525;0,014081346;0,138630137;FALSE
USP8;1,564892724;0,013043478;0,130985915;FALSE
VCPIP1;1,90417487;0,01256662;0,128;FALSE
RHOBTB3;1,395424266;0,012258065;0,126666667;FALSE
RNF121;1,708602272;0,01200561;0,125882353;FALSE
RNF111;1,311177201;0,011472651;0,122089552;FALSE
RNF103;1,751440497;0,011051893;0,119393939;FALSE
KLHL20;0,573579739;0,010406732;0,114153846;FALSE
CUL9;1,690456735;0,010098177;0,1125;FALSE
RNF43;1,531768237;0,009789621;0,110793651;FALSE
CBLC;0,642463089;0,00973352;0,110793651;FALSE
NLE1;0,511830886;0,007601683;0,088852459;FALSE
RABGEF1;0,403417106;0,007573633;0,088852459;FALSE
RNF166;0,673559914;0,007321178;0,088474576;FALSE
RNF216;2,053434715;0,007237027;0,088474576;FALSE
UBE4B;0,422713351;0,006816269;0,085263158;FALSE
RNF128;1,454481039;0,006704067;0,085263158;FALSE
HERC1;0,577256853;0,006367461;0,082545455;FALSE
SPSB4;2,260379452;0,00628331;0,082545455;FALSE
KLHL7;1,775674219;0,006227209;0,082545455;FALSE
FBXO17;0,582903534;0,006115007;0,082545455;FALSE
USP16;0,561086072;0,006115007;0,082545455;FALSE
DTL;0,442310258;0,006030856;0,082545455;FALSE
MYC;0,381685963;0,005610098;0,081632653;FALSE
HECTD1;2,144253375;0,005329593;0,079166667;FALSE
RNF135;0,600798024;0,00516129;0,078297872;FALSE
SHPRH;1,835581947;0,00457223;0,070869565;FALSE
ERCC8;1,78878396;0,003534362;0,056;FALSE
ASB12;2,065844323;0,002889201;0,046818182;FALSE
WWP2;0,389515893;0,002720898;0,045116279;FALSE
RPL3;2,089595227;0,002524544;0,042857143;FALSE
RNF8;2,162781721;0,002440393;0,042439024;FALSE
XIAP;2,043040171;0,002187938;0,039;FALSE
TRIM73;0,446916735;0,002187938;0,039;FALSE
PIAS1;0,36577526;0,002103787;0,039;FALSE
TRIM26;0,497434706;0,002103787;0,039;FALSE
RNF208;0,422584891;0,001991585;0,039;FALSE
USP51;0,444321112;0,001823282;0,037142857;FALSE
TRIM74;0,410828581;0,001570827;0,032941176;FALSE
COPS5;0,432146319;0,00115007;0,024848485;FALSE
RNF25;2,234012342;0,00112202;0,024848485;FALSE
FBXL5;0,511808195;0,001037868;0,023870968;FALSE
PRPF19;0,377167606;0,001037868;0,023870968;FALSE
TRIM28;0,567092042;0,001037868;0,023870968;FALSE
USP34;0,606471871;0,001037868;0,023870968;FALSE
ELOB;0,372239154;9,82E-04;0,023870968;FALSE
HUWE1;0,477094973;8,98E-04;0,023870968;FALSE
UBE2I;0,361659841;7,29E-04;0,0208;FALSE
BAP1;2,455007926;5,89E-04;0,0175;FALSE
OTUB1;1,867048683;5,89E-04;0,0175;FALSE
MED8;0,428678015;3,93E-04;0,012727273;FALSE
OTUD5;2,54780387;3,93E-04;0,012727273;FALSE
CCIN;0,314983802;3,37E-04;0,012;FALSE
EP300;0,418780678;3,37E-04;0,012;FALSE
BRAP;0,457724469;2,81E-05;0,001111111;TRUE
CUL3;0,240290665;2,81E-05;0,001111111;TRUE
DCAF1;0,348509502;2,81E-05;0,001111111;TRUE
DCAF13;16,49462888;2,81E-05;0,001111111;TRUE
DCAF7;0,283070667;2,81E-05;0,001111111;TRUE
ELOC;0,360612857;2,81E-05;0,001111111;TRUE
KCMF1;20,38406449;2,81E-05;0,001111111;TRUE
RICTOR;0,447350456;2,81E-05;0,001111111;TRUE
RNF14;2,935584625;2,81E-05;0,001111111;TRUE
SMU1;0,303179351;2,81E-05;0,001111111;TRUE
UBE2A;9,278957175;2,81E-05;0,001111111;TRUE
UBE2B;3,006025612;2,81E-05;0,001111111;TRUE
UBE3C;3,438421858;2,81E-05;0,001111111;TRUE
UBR2;4,474392146;2,81E-05;0,001111111;TRUE
UBR4;12,39679326;2,81E-05;0,001111111;TRUE
USP14;2,173671775;2,81E-05;0,001111111;TRUE
USP5;3,708681876;2,81E-05;0,001111111;TRUE
USP9X;0,310227195;2,81E-05;0,001111111;TRUE
